# %ECSV 0.9
# ---
# datatype:
# - {name: ccd_num,datatype: int}
# - {name: X,unit: mm,datatype: float64}
# - {name: Y,unit: mm,datatype: float64}
# - {name: Z,unit: mm,datatype: float64}
# - {name: XHat_NX,datatype: float64}
# - {name: XHat_NY,datatype: float64}
# - {name: XHat_NZ,datatype: float64}
# - {name: YHat_NX,datatype: float64}
# - {name: YHat_NY,datatype: float64}
# - {name: YHat_NZ,datatype: float64}
# - {name: ZHat_NX,datatype: float64}
# - {name: ZHat_NY,datatype: float64}
# - {name: ZHat_NZ,datatype: float64}
# - {name: xwidth,unit: mm,datatype: float64}
# - {name: ywidth,unit: mm,datatype: float64}
# - {name: xpix,datatype: float64}
# - {name: ypix,datatype: float64}
# - {name: xpixsize,unit: mm,datatype: float64}
# - {name: ypixsize,unit: mm,datatype: float64}
# Author: Casey DeRoo
# ORIGFILE: focplane.fits, pushed 12/11/17
# Description: Specifications of Moritz Optimized Focal Plane, Referenced to Global Instrument Coordinate System
ccd_num,X,Y,Z,XHat_NX,XHat_NY,XHat_NZ,YHat_NX,YHat_NY,YHat_NZ,ZHat_NX,ZHat_NY,ZHat_NZ,xwidth,ywidth,xpix,ypix,xpixsize,ypixsize
1,-657.725,-12.468,28.8661,0.994314,0.0,-0.10649,-0.0,1.0,0.0,0.10649,0.0,0.994314,49.392000000000003,24.936,2058,1039,0.024,0.024
2,-608.116,-12.468,23.5551,0.995172,0.0,-0.0981434,-0.0,1.0,0.0,0.0981434,0.0,0.995172,49.392000000000003,24.936,2058,1039,0.024,0.024
3,-558.465,-12.468,18.6606,0.995961,0.0,-0.0897894,-0.0,1.0,0.0,0.0897894,0.0,0.995961,49.392000000000003,24.936,2058,1039,0.024,0.024
4,-508.774,-12.468,14.1829,0.996679,0.0,-0.081429,-0.0,1.0,0.0,0.081429,0.0,0.996679,49.392000000000003,24.936,2058,1039,0.024,0.024
5,-459.047,-12.468,10.1223,0.997327,0.0,-0.073063,-0.0,1.0,0.0,0.073063,0.0,0.997327,49.392000000000003,24.936,2058,1039,0.024,0.024
6,-409.288,-12.468,6.4791,0.997905,0.0,-0.0646918,-0.0,1.0,0.0,0.0646918,0.0,0.997905,49.392000000000003,24.936,2058,1039,0.024,0.024
7,-359.5,-12.468,3.25358,0.998413,0.0,-0.056316,-0.0,1.0,0.0,0.056316,0.0,0.998413,49.392000000000003,24.936,2058,1039,0.024,0.024
8,-309.687,-12.468,0.445939,0.99885,0.0,-0.0479363,-0.0,1.0,0.0,0.0479363,0.0,0.99885,49.392000000000003,24.936,2058,1039,0.024,0.024
9,255.367,-12.468,-2.13811,0.99889,0.0,0.0470981,0.0,1.0,-0.0,-0.0470981,0.0,0.99889,49.392000000000003,24.936,2058,1039,0.024,0.024
10,305.204,-12.468,0.213825,0.99846,0.0,0.0554782,0.0,1.0,-0.0,-0.0554782,0.0,0.99846,49.392000000000003,24.936,2058,1039,0.024,0.024
11,355.019,-12.468,2.98386,0.997959,0.0,0.0638544,0.0,1.0,-0.0,-0.0638544,0.0,0.997959,49.392000000000003,24.936,2058,1039,0.024,0.024
12,404.809,-12.468,6.17179,0.997388,0.0,0.0722261,0.0,1.0,-0.0,-0.0722261,0.0,0.997388,49.392000000000003,24.936,2058,1039,0.024,0.024
13,454.571,-12.468,9.77741,0.996747,0.0,0.0805927,0.0,1.0,-0.0,-0.0805927,0.0,0.996747,49.392000000000003,24.936,2058,1039,0.024,0.024
14,504.301,-12.468,13.8005,0.996036,0.0,0.0889536,0.0,1.0,-0.0,-0.0889536,0.0,0.996036,49.392000000000003,24.936,2058,1039,0.024,0.024
15,553.995,-12.468,18.2406,0.995254,0.0,0.0973083,0.0,1.0,-0.0,-0.0973083,0.0,0.995254,49.392000000000003,24.936,2058,1039,0.024,0.024
16,603.651,-12.468,23.0977,0.994403,0.0,0.105656,0.0,1.0,-0.0,-0.105656,0.0,0.994403,49.392000000000003,24.936,2058,1039,0.024,0.024
